first_name,last_name,full_name,nationality,player_url,2017-2018_team,2017-2018_avg_min,2018-2019_team,2018-2019_avg_min,2021-2022_team,2021-2022_avg_min,2022-2023_team,2022-2023_avg_min,2023-2024_team,2023-2024_avg_min,2024-2025_team,2024-2025_avg_min
Thomas,LAINAULT,Thomas Lainault,France,https://prod2.lnr.fr/joueur/888-thomas-lainault,,,,,,,,,FC Grenoble Rugby,82.0,FC Grenoble Rugby,69.0
Eric,ESCANDE,Eric Escande,France,https://prod2.lnr.fr/joueur/893-eric-escande,RC Toulon,43.0,RC Toulon,59.3,,,,,FC Grenoble Rugby,59.0,FC Grenoble Rugby,14.0
Julien,FARNOUX,Julien Farnoux,France,https://prod2.lnr.fr/joueur/894-julien-farnoux,,,USA Perpignan,66.2,USA Perpignan,53.5,,,FC Grenoble Rugby,73.0,FC Grenoble Rugby,76.0
Pio,MUARUA,Pio Muarua,Fidji,https://prod2.lnr.fr/joueur/906-pio-muarua,SU Agen,40.0,,,,,,,FC Grenoble Rugby,74.0,FC Grenoble Rugby,61.0
Victor,GUILLAUMOND,Victor Guillaumond,France,https://prod2.lnr.fr/joueur/913-victor-guillaumond,,,,,,,,,,,FC Grenoble Rugby,30.0
Wilfried,HULLEU,Wilfried Hulleu,France,https://prod2.lnr.fr/joueur/916-wilfried-hulleu,,,,,,,,,FC Grenoble Rugby,82.0,FC Grenoble Rugby,84.0
Romain,TROUILLOUD,Romain Trouilloud,France,https://prod2.lnr.fr/joueur/918-romain-trouilloud,,,,,,,,,,,FC Grenoble Rugby,29.0
Romain,FUSIER,Romain Fusier,France,https://prod2.lnr.fr/joueur/919-romain-fusier,,,,,,,,,FC Grenoble Rugby,82.0,FC Grenoble Rugby,84.0
Lilian,ROSSI,Lilian Rossi,France,https://prod2.lnr.fr/joueur/925-lilian-rossi,,,FC Grenoble Rugby,45.0,,,,,FC Grenoble Rugby,15.0,FC Grenoble Rugby,37.0
Thibaut,MARTEL,Thibaut Martel,France,https://prod2.lnr.fr/joueur/926-thibaut-martel,,,FC Grenoble Rugby,70.0,,,,,FC Grenoble Rugby,66.0,FC Grenoble Rugby,77.0
Mathis,SARRAGALLET,Mathis Sarragallet,France,https://prod2.lnr.fr/joueur/929-mathis-sarragallet,,,,,,,,,,,FC Grenoble Rugby,47.0
Samuel,DAVIES,Samuel Davies,Grande-Bretagne,https://prod2.lnr.fr/joueur/9423-samuel-davies,,,,,,,,,FC Grenoble Rugby,82.0,FC Grenoble Rugby,84.0
Georges Henri,COLOMBE REAZEL,Georges Henri Colombe Reazel,France,https://top14.lnr.fr/joueur/1009-georges-henri-colombe-reazel,Racing 92,37.5,Racing 92,31.9,Racing 92,40.9,Stade Rochelais,40.2,Stade Rochelais,37.2,Stade Rochelais,35.7
Noe,DELLA SCHIAVA,Noe Della Schiava,France,https://top14.lnr.fr/joueur/1013-noe-della-schiava,,,,,Stade Rochelais,12.0,Stade Rochelais,20.0,Stade Rochelais,14.8,USA Perpignan,66.9
Tavite,VEREDAMU,Tavite Veredamu,France,https://top14.lnr.fr/joueur/1047-tavite-veredamu,,,,,LOU Rugby,60.4,LOU Rugby,63.4,USA Perpignan,74.0,USA Perpignan,79.4
Mateo,GARCIA,Mateo Garcia,France,https://top14.lnr.fr/joueur/11027-mateo-garcia,,,,,Union Bordeaux-Bègles,17.7,Union Bordeaux-Bègles,21.8,Union Bordeaux-Bègles,57.9,Union Bordeaux-Bègles,41.3
Patrick,SOBELA,Patrick Sobela,France,https://top14.lnr.fr/joueur/1103-patrick-sobela,Oyonnax Rugby,52.9,LOU Rugby,58.9,LOU Rugby,59.9,LOU Rugby,49.2,USA Perpignan,60.2,USA Perpignan,47.6
