first_name,last_name,nationality,player_url,2017-2018_team,2017-2018_avg_min,2018-2019_team,2018-2019_avg_min,2021-2022_team,2021-2022_avg_min,2022-2023_team,2022-2023_avg_min,2023-2024_team,2023-2024_avg_min,2024-2025_team,2024-2025_avg_min
Eliott,ROUDIL,France,https://top14.lnr.fr/joueur/1905-eliott-roudil,,,,,,,,,,,,
Lekima Vuda,TAGITAGIVALU,Fidji,https://top14.lnr.fr/joueur/1911-lekima-vuda-tagitagivalu,,,,,,,,,,,,
Clément,LAPORTE,France,https://top14.lnr.fr/joueur/1915-clement-laporte,,,,,,,,,,,,
Thibault,DEBAES,France,https://top14.lnr.fr/joueur/1930-thibault-debaes,,,,,,,,,,,,
Zack,HENRY,Angleterre,https://top14.lnr.fr/joueur/1939-zack-henry,,,,,,,,,,,,
Reece,HEWAT,Australie,https://top14.lnr.fr/joueur/1940-reece-hewat,,,,,,,,,,,,
Eoghan,BARRETT,Irlande,https://top14.lnr.fr/joueur/1941-eoghan-barrett,,,,,,,,,,,,
Posolo,TUILAGI,Samoa,https://top14.lnr.fr/joueur/1952-posolo-tuilagi,,,,,,,,,,,,
Boris,GOUTARD,France,https://top14.lnr.fr/joueur/1954-boris-goutard,,,,,,,,,,,,
Joaquin,OVIEDO,Argentine,https://top14.lnr.fr/joueur/1955-joaquin-oviedo,,,,,,,,,,,,
Andrei,MAHU,Roumanie,https://top14.lnr.fr/joueur/1956-andrei-mahu,,,,,,,,,,,,
Jeronimo,DE LA FUENTE,Argentine,https://top14.lnr.fr/joueur/1958-jeronimo-de-la-fuente,,,,,,,,,,,,
Siosiaia Ma'afu,FIA,Nouvelle Zélande,https://top14.lnr.fr/joueur/1964-siosiaia-maafu-fia,,,,,,,,,,,,
Mathys,LOTRIAN,France,https://top14.lnr.fr/joueur/1967-mathys-lotrian,,,,,,,,,,,,
Alistair,CROSSDALE,Grande-Bretagne,https://top14.lnr.fr/joueur/1969-alistair-crossdale,,,,,,,,,,,,
Sadek,DEGHMACHE,France,https://top14.lnr.fr/joueur/1973-sadek-deghmache,,,,,,,,,,,,
Tristan James,TEDDER,Autriche,https://top14.lnr.fr/joueur/1976-tristan-james-tedder,,,,,,,,,,,,
Matteo,RODOR,France,https://top14.lnr.fr/joueur/1977-matteo-rodor,,,,,,,,,,,,
Mathieu,ACEBES,France,https://top14.lnr.fr/joueur/1980-mathieu-acebes,,,,,,,,,,,,
Tristan,LABOUTELEY,France,https://top14.lnr.fr/joueur/1982-tristan-labouteley,,,,,,,,,,,,
Lucas,BACHELIER,France,https://top14.lnr.fr/joueur/1984-lucas-bachelier,,,,,,,,,,,,
Afusipa Faha Ivalu,TAUMOEPEAU,Australie,https://top14.lnr.fr/joueur/1985-afusipa-faha-ivalu-taumoepeau,,,,,,,,,,,,
Mike,TADJER,France,https://top14.lnr.fr/joueur/1986-mike-tadjer,,,,,,,,,,,,
Tom,ECOCHARD,France,https://top14.lnr.fr/joueur/1987-tom-ecochard,,,,,,,,,,,,
Dorian,LABORDE,France,https://top14.lnr.fr/joueur/1988-dorian-laborde,,,,,,,,,,,,
Alan,BRAZO,France,https://top14.lnr.fr/joueur/1989-alan-brazo,,,,,,,,,,,,
Giorgi,TETRASHVILI,Géorgie,https://top14.lnr.fr/joueur/1990-giorgi-tetrashvili,,,,,,,,,,,,
Victor,MOREAUX,France,https://top14.lnr.fr/joueur/1991-victor-moreaux,,,,,,,,,,,,
Arthur,JOLY,France,https://top14.lnr.fr/joueur/1992-arthur-joly,,,,,,,,,,,,
Xavier,CHIOCCI,France,https://top14.lnr.fr/joueur/1993-xavier-chiocci,,,,,,,,,,,,
Genesis,MAMEA LEMALU,Nouvelle Zélande,https://top14.lnr.fr/joueur/1995-genesis-mamea-lemalu,,,,,,,,,,,,
Piula,FAASALELE,Samoa américain,https://top14.lnr.fr/joueur/1996-piula-faasalele,,,,,,,,,,,,
Kelian,GALLETIER,France,https://top14.lnr.fr/joueur/1997-kelian-galletier,,,,,,,,,,,,
Siosiua,HALANUKONUKA,Nouvelle Zélande,https://top14.lnr.fr/joueur/1999-siosiua-halanukonuka,,,,,,,,,,,,
Shahn,ERU,Nouvelle Zélande,https://top14.lnr.fr/joueur/2000-shahn-eru,,,,,,,,,,,,
Alivereti Uqueqe,DUGUIVALU,Fidji,https://top14.lnr.fr/joueur/2001-alivereti-uqueqe-duguivalu,,,,,,,,,,,,
Patricio,FERNANDEZ,Espagne,https://top14.lnr.fr/joueur/2003-patricio-fernandez,,,,,,,,,,,,
Edward Dratai,SAWAILAU,Fidji,https://top14.lnr.fr/joueur/2004-edward-dratai-sawailau,,,,,,,,,,,,
Jake Aron,MCINTYRE,Australie,https://top14.lnr.fr/joueur/2005-jake-aron-mcintyre,,,,,,,,,,,,
Leon Seilala,LAM,Samoa américain,https://top14.lnr.fr/joueur/2008-leon-seilala-lam,,,,,,,,,,,,
Victor,MONTGAILLARD,France,https://top14.lnr.fr/joueur/2009-victor-montgaillard,,,,,,,,,,,,
Lucas,DUBOIS,France,https://top14.lnr.fr/joueur/2010-lucas-dubois,,,,,,,,,,,,
Taniela,RAMASIBANA,Fidji,https://top14.lnr.fr/joueur/2018-taniela-ramasibana,,,,,,,,,,,,
Alexandre,PEREZ,France,https://top14.lnr.fr/joueur/2019-alexandre-perez,,,,,,,,,,,,
Akato,FAKATIKA,France,https://top14.lnr.fr/joueur/2022-akato-fakatika,,,,,,,,,,,,
Sacha,LOTRIAN,France,https://top14.lnr.fr/joueur/2023-sacha-lotrian,,,,,,,,,,,,
Lucas,VELARTE,France,https://top14.lnr.fr/joueur/2025-lucas-velarte,,,,,,,,,,,,
Carl,AXTENS,Nouvelle Zélande,https://top14.lnr.fr/joueur/2068-carl-axtens,,,,,,,,,,,,
